Zeitstempel,PV-Leistung (kW),Netz-Leistung (kW),Batterie-Leistung (kW),Hausverbrauch (kW),Batterieladestand (%)
2025-05-07 11:54:30,3.3897686767578126,2.2376,0.006058094978332519,1.032031103515625,100.0
2025-05-07 11:54:40,3.358771240234375,2.2037,0.00550059700012207,1.0365023925781252,100.0
2025-05-07 11:54:51,3.3410106811523437,2.1820999999999997,0.005845876216888428,1.0403191894531252,100.0
2025-05-07 11:55:01,3.335871826171875,2.1783,0.006551856994628906,1.0395471679687498,100.0
2025-05-07 11:55:11,3.336666076660156,2.168,0.006724165439605713,1.05017724609375,100.0
2025-05-07 11:55:21,3.347594970703125,2.1773000000000002,0.0053919234275817875,1.051022265625,100.0
2025-05-07 11:55:31,3.3812810668945312,2.219,0.00682112455368042,1.04396728515625,100.0
2025-05-07 11:55:41,3.3916248168945313,2.2173000000000003,0.005259139060974121,1.0542019531249998,100.0
2025-05-07 11:55:51,3.3877681884765627,2.2251,0.007235670089721679,1.0424107421875002,100.0
2025-05-07 11:56:01,3.387494323730469,2.2256,0.006136379718780518,1.051964453125,100.0
2025-05-07 11:56:21,3.4582510375976563,2.2922,0.007481603622436523,1.0446154296875,100.0
2025-05-07 11:56:32,3.545048278808594,2.3621,0.004772150039672852,1.060126318359375,100.0
2025-05-07 11:56:42,3.57501318359375,2.4123,0.006344896793365478,1.0382048828125,100.0
2025-05-07 11:56:52,3.537310791015625,2.3688000000000002,0.0052326850891113285,1.0455256835937499,100.0
2025-05-07 11:57:02,3.62237451171875,2.4399,0.005983602523803711,1.057454248046875,100.0
2025-05-07 11:57:12,3.684166259765625,2.5122,0.004955609798431396,1.0447809570312503,100.0
2025-05-07 11:57:22,3.675793884277344,2.5225999999999997,0.007894874572753906,1.0257579101562502,100.0
2025-05-07 11:57:32,3.620018310546875,2.4581999999999997,0.005074795246124268,1.0364579589843752,100.0
2025-05-07 11:57:42,3.6080299072265625,2.444,0.00654006576538086,1.0384501953125,100.0
2025-05-07 11:57:53,3.572835266113281,2.4189000000000003,0.007307991981506347,1.0290702148437498,100.0
2025-05-07 11:58:03,3.540240295410156,2.3765,0.004795229911804199,1.0404140625,100.0
2025-05-07 11:58:13,3.5196300659179687,2.3316,0.0066480026245117185,1.06400107421875,100.0
2025-05-07 11:58:23,3.4754642944335936,2.3034,0.005887678146362305,1.04981826171875,100.0
2025-05-07 11:58:33,3.4585701293945315,2.2739000000000003,0.004936724185943603,1.0628075195312499,100.0
2025-05-07 11:58:43,3.4465015258789062,2.2849,0.00628327226638794,1.0399520507812499,100.0
2025-05-07 11:58:53,3.4172612915039062,2.2638000000000003,0.005313060283660889,1.032807666015625,100.0
2025-05-07 11:59:03,3.3947034912109375,2.2273,0.005126372337341308,1.0472976562499998,100.0
2025-05-07 11:59:13,3.3768145751953127,2.2312,0.007223680496215821,1.0256090820312502,100.0
2025-05-07 11:59:23,3.3656203002929685,2.2133000000000003,0.004649928092956543,1.0334189941406249,100.0
2025-05-07 11:59:34,3.3656627197265623,2.2201999999999997,0.007572659969329834,1.0258283203125003,100.0
2025-05-07 11:59:44,3.372273498535156,2.1912,0.0058735814094543455,1.0607006347656251,100.0
2025-05-07 11:59:54,3.4196143188476564,2.2611,0.0062877006530761715,1.03786923828125,100.0
2025-05-07 12:00:04,3.479455810546875,2.2891,0.006730103969573974,1.0689048828125,100.0
2025-05-07 12:00:14,3.3913347778320313,2.2308000000000003,0.00576337194442749,1.0392053710937499,100.0
2025-05-07 12:00:24,3.317391662597656,2.1726,0.005732162475585938,1.02494296875,100.0
2025-05-07 12:00:34,3.2792931518554687,2.1193,0.0056141457557678225,1.0418423339843748,100.0
2025-05-07 12:00:44,3.242858337402344,2.0711,0.005962580680847168,1.0546546386718751,100.0
2025-05-07 12:00:55,3.2183143310546876,2.0486999999999997,0.005596490383148194,1.0529582031250002,100.0
2025-05-07 12:01:05,3.1999076538085935,2.0488000000000004,0.00467918586730957,1.0355188476562498,100.0
2025-05-07 12:01:15,3.190487060546875,2.0423,0.006803330898284912,1.0323591796875,100.0
2025-05-07 12:01:25,3.187112854003906,2.0412,0.005282020568847657,1.030816845703125,100.0
2025-05-07 12:01:35,3.182826477050781,2.0434,0.006305181503295899,1.0238343749999999,100.0
2025-05-07 12:01:45,3.177060729980469,2.0389,0.006038315296173095,1.02334853515625,100.0
2025-05-07 12:01:55,3.1711373291015623,2.0432,0.005217530727386475,1.01301728515625,100.0
2025-05-07 12:02:05,3.16437158203125,2.008,0.007085378170013428,1.041259765625,100.0
2025-05-07 12:02:15,3.1527755126953125,2.0165,0.005018258094787597,1.0216826171875,100.0
2025-05-07 12:02:25,3.1513095092773438,2.0165,0.006158364295959473,1.02016455078125,100.0
2025-05-07 12:02:35,3.155916198730469,2.0176,0.005366648197174072,1.0237012695312502,100.0
2025-05-07 12:02:45,3.1617229614257814,2.0129,0.00592486047744751,1.0344469238281249,100.0
2025-05-07 12:02:56,3.1706315307617188,2.0277,0.006831074714660644,1.02802216796875,100.0
2025-05-07 12:03:06,3.1772676391601564,2.0434,0.005055336952209472,1.01863369140625,100.0
2025-05-07 12:03:16,3.1892542114257814,2.0375,0.005612621307373047,1.036889404296875,100.0
2025-05-07 12:03:26,3.210042236328125,2.0789,0.0073844375610351565,1.01487783203125,100.0
2025-05-07 12:03:36,3.211667419433594,2.0773,0.006904648780822754,1.0192610351562499,100.0
2025-05-07 12:03:46,3.2205279541015623,2.0791999999999997,0.005251710891723633,1.0226417968750001,100.0
2025-05-07 12:03:56,3.2254189453125,2.0876,0.005675320148468018,1.018637060546875,100.0
2025-05-07 12:04:07,3.2149742431640624,2.0751,0.006286440849304199,1.0214341796875002,100.0
2025-05-07 12:04:17,3.198044006347656,2.0505,0.005050693988800049,1.0296259765625,100.0
2025-05-07 12:04:27,3.176541931152344,2.0308,0.004242951393127441,1.028568896484375,100.0
2025-05-07 12:04:37,3.1666758422851564,2.0104,0.003056356430053711,1.038267724609375,100.0
2025-05-07 12:04:47,3.16691845703125,2.0282999999999998,0.0041430525779724125,1.02054814453125,100.0
2025-05-07 12:04:57,3.167567687988281,2.0158,0.004930203437805176,1.038043994140625,100.0
2025-05-07 12:05:07,3.1797715454101563,2.0271,0.004611269950866699,1.0377720703125002,100.0
2025-05-07 12:05:17,3.1934149780273438,2.0526,0.004848134040832519,1.02532236328125,100.0
2025-05-07 12:05:27,3.21233056640625,2.0726999999999998,0.005875297546386719,1.0243163574218752,100.0
2025-05-07 12:05:37,3.2082847900390625,1.7555999999999998,0.0056562056541442874,1.3390455078125,100.0
2025-05-07 12:05:47,3.2551173095703123,2.1336999999999997,0.006756105899810791,1.0052340820312502,100.0
2025-05-07 12:05:58,3.28224169921875,2.1473,0.006090160846710205,1.0177786132812499,100.0
2025-05-07 12:06:08,3.308716796875,2.1401999999999997,0.007668152809143066,1.0511208007812503,100.0
2025-05-07 12:06:18,3.33743212890625,2.1706,0.00630849027633667,1.048043798828125,100.0
2025-05-07 12:06:28,3.367162841796875,2.2001,0.006644898891448974,1.047245703125,100.0
2025-05-07 12:06:38,3.3945484008789064,2.2293000000000003,0.006647585391998291,1.046213671875,100.0
2025-05-07 12:06:48,3.419053405761719,2.2579000000000002,0.007690683364868164,1.0406507812499999,100.0
2025-05-07 12:06:58,3.4404791259765624,2.2721,0.006104613780975342,1.0464263671875,100.0
2025-05-07 12:07:09,3.463171569824219,2.2952,0.005251833915710449,1.0475856445312501,100.0
2025-05-07 12:07:19,3.489550109863281,2.32,0.0065233373641967775,1.048431640625,100.0
2025-05-07 12:07:29,3.518422119140625,2.355,0.006082214832305908,1.042189453125,100.0
2025-05-07 12:07:39,3.5217547607421875,2.3395,0.0056077933311462404,1.05962548828125,100.0
2025-05-07 12:07:49,3.5340367431640627,2.3531999999999997,0.005698011875152588,1.057351025390625,100.0
2025-05-07 12:07:59,3.5469403076171875,2.3832,0.004202259063720703,1.0413644531250001,100.0
2025-05-07 12:08:09,3.575168701171875,2.4092,0.0039374945163726804,1.0424166992187502,100.0
2025-05-07 12:08:19,3.61726904296875,2.4572,0.006230290412902832,1.0350041015625002,100.0
2025-05-07 12:08:29,3.6310475463867187,2.4658,0.006238906383514404,1.0405540039062497,100.0
2025-05-07 12:08:39,3.61958935546875,2.4563,0.007982456684112548,1.0382351562499998,100.0
2025-05-07 12:08:50,3.5936828002929686,2.4280999999999997,0.008198325157165526,1.0402059082031252,100.0
2025-05-07 12:09:00,3.532683837890625,2.3706,0.006225637435913086,1.0388519042968751,100.0
2025-05-07 12:09:10,3.5113746337890626,2.3546,0.005350364208221436,1.0336573242187501,100.0
2025-05-07 12:09:20,3.497815673828125,2.3353,0.007662103652954101,1.0396960937499997,100.0
2025-05-07 12:09:30,3.49094580078125,2.3339000000000003,0.007656354427337647,1.03525576171875,100.0
2025-05-07 12:09:40,3.48894287109375,2.3173000000000004,0.005699839591979981,1.0496641113281249,100.0
2025-05-07 12:09:50,3.496085754394531,2.326,0.0068161807060241695,1.04778466796875,100.0
2025-05-07 12:10:01,3.5107979125976563,2.3381,0.005050638675689697,1.0494122070312502,100.0
2025-05-07 12:10:11,3.507812255859375,2.3377,0.005165823459625244,1.0480636718750003,100.0
2025-05-07 12:10:21,3.5118453369140625,2.3274,0.006316840171813965,1.0629632812499998,100.0
2025-05-07 12:10:31,3.5253380126953124,2.3611,0.005598609447479248,1.0418912109375,100.0
2025-05-07 12:10:41,3.5613011474609375,2.3841,0.006913613796234131,1.053749609375,100.0
2025-05-07 12:10:51,3.612413330078125,2.4324,0.006395771026611328,1.0557640625,100.0
2025-05-07 12:11:01,3.5849517211914064,2.4159,0.006251285076141358,1.0447933593749998,100.0
2025-05-07 12:11:11,3.5943778076171875,2.4272,0.00831379508972168,1.0419459960937503,100.0
2025-05-07 12:11:21,3.6317633056640624,2.4453,0.007363228797912597,1.0627019531249997,100.0
2025-05-07 12:11:31,3.633803405761719,2.4701999999999997,0.008386777877807618,1.034227490234375,100.0
2025-05-07 12:11:41,3.5530182495117186,2.388,0.006718253612518311,1.03808984375,100.0
2025-05-07 12:11:52,3.5329056396484373,2.3629000000000002,0.008103354454040528,1.04493203125,100.0
2025-05-07 12:12:02,3.4769362182617187,2.3281,0.007911091327667236,1.0232818359375,100.0
2025-05-07 12:12:12,3.4439876708984376,2.2908000000000004,0.006854330062866211,1.0293030273437498,100.0
2025-05-07 12:12:22,3.405950439453125,2.2494,0.007134929180145264,1.0333731933593748,100.0
2025-05-07 12:12:32,3.382254150390625,2.2175,0.007080344676971435,1.041467529296875,100.0
2025-05-07 12:12:42,3.3714129638671877,2.2204,0.007122485160827636,1.03185244140625,100.0
2025-05-07 12:12:52,3.363116455078125,2.2065,0.006837908744812012,1.0379384765625,100.0
2025-05-07 12:13:03,3.3488609008789063,2.1964,0.00580865478515625,1.032985498046875,100.0
2025-05-07 12:13:13,3.3004189453125,2.1758,0.0058783659934997555,1.00600126953125,100.0
2025-05-07 12:13:23,3.258033203125,2.1329000000000002,0.004111224174499511,1.00764736328125,100.0
